archive,task_id,group,classification,archive_sha256,backup_path,source,canonical_source_sha256,test,canonical_test_sha256,testsRun,failures,errors,skipped,member_count,corrected_during_integration,integration
BIE_RE_CAUSAL_HARD_001.zip,BIE-RE-CAUSAL-HARD-001,RE_QA_HARDENING,ENTERPRISE HARDENING ADDITION,c3445cb2c0728dcb2979596b8d8b79d4b90b0db0fec0086e8aef352f9997cb3b,backups/ingested/BIE_RE_CAUSAL_HARD_001.zip,bie/reasoning/grounded_causal_graph.py,7308a09bd088995dd721c21b1abebe38ce829d1b6197b6fc953911bc5f2a8dd2,tests/reasoning/test_causal_hard_001.py,0f4ce4db1f39239bf49b85cd2419bc25bc3ba7e9a2ae5fad493c11a56e0b6852,3,0,0,0,7,False,CANONICAL_LOCAL_VERIFIED
BIE_RE_CAUSAL_HARD_002.zip,BIE-RE-CAUSAL-HARD-002,RE_QA_HARDENING,ENTERPRISE HARDENING ADDITION,fad61150ccf60fab2de4103f557f904d6e1400647cebdaaea74fda6ac9c5ac51,backups/ingested/BIE_RE_CAUSAL_HARD_002.zip,bie/reasoning/mechanism_path_reasoning.py,b7763b5e5585efdc63acd0af84f9d07ce5c86c304ec42f251ed561b7144907db,tests/reasoning/test_causal_hard_002.py,f8ee23cf5026e70ad5b1f53d174c80fac3f2e7b767fb94510844648d504ccf1c,3,0,0,0,7,False,CANONICAL_LOCAL_VERIFIED
BIE_RE_CAUSAL_HARD_003.zip,BIE-RE-CAUSAL-HARD-003,RE_QA_HARDENING,ENTERPRISE HARDENING ADDITION,bdab8e6b90b2da521ec30ca5ac292153f0cbfa5e5cf776f92335972f9f247078,backups/ingested/BIE_RE_CAUSAL_HARD_003.zip,bie/reasoning/temporal_causal_guard.py,dc6f0b925ce03eed9429890cd37a94ada76b1906194e34a0489fc4d486c09d31,tests/reasoning/test_causal_hard_003.py,9fd1ad6aba2ddc514891884d00ad4695db4b283cbf6f64f9c618d1cb1e5c14ff,4,0,0,0,7,False,CANONICAL_LOCAL_VERIFIED
BIE_RE_CAUSAL_HARD_004.zip,BIE-RE-CAUSAL-HARD-004,RE_QA_HARDENING,ENTERPRISE HARDENING ADDITION,47dc8b153300cf408cdbbcf23541a4cd63e5c97b516f4fb5dc7850868d4323e5,backups/ingested/BIE_RE_CAUSAL_HARD_004.zip,bie/reasoning/grounded_counterfactual.py,dee9252f30407c31e2715ae6353466f7ddb8a09e13606e137495705838cefd9c,tests/reasoning/test_causal_hard_004.py,05cbf1bd26c0ac317343ec9883109786bd755743d14afc5299d8d722a94925e1,4,0,0,0,7,True,CANONICAL_LOCAL_VERIFIED
BIE_RE_CROSS_HARD_001.zip,BIE-RE-CROSS-HARD-001,RE_QA_HARDENING,ENTERPRISE HARDENING ADDITION,8cf90ea64f962330126befbbf8d382a9272151a6c7cd4bbf4837f134e055acef,backups/ingested/BIE_RE_CROSS_HARD_001.zip,bie/reasoning/cross_family_arbitration.py,f3254279a9cddd3f078f1ec41f99de40d3183d094ab492295778e30b652e1c39,tests/reasoning/test_cross_hard_001.py,6cf7a04da42f3f79b69a1f0e41137ecb36fb57e1b5ae79c832ecad7803120b02,3,0,0,0,7,True,CANONICAL_LOCAL_VERIFIED
BIE_RE_E2E_HARD_001.zip,BIE-RE-E2E-HARD-001,RE_QA_HARDENING,ENTERPRISE HARDENING ADDITION,2830a2fdc356a5330fb6b1e46cfeb38ce9579319c87f2b28807b1e27f440edc8,backups/ingested/BIE_RE_E2E_HARD_001.zip,bie/reasoning/reasoning_realbook_fixture.py,9aa52051fbb562962b894ecb0e727f07df7dde1ec235086059112ff3719d2d58,tests/reasoning/test_e2e_hard_001.py,0c3b5db0a9fa767dc294d190b2efd2d08bba9e223a9e71d0e491ad0535302a2b,3,0,0,0,7,True,CANONICAL_LOCAL_VERIFIED
BIE_RE_GRAPH_HARD_001.zip,BIE-RE-GRAPH-HARD-001,RE_QA_HARDENING,ENTERPRISE HARDENING ADDITION,fa3a2e89ce6c196523e47073d13fb2f794f15fe7773e0d1572e2e9e613ce4df7,backups/ingested/BIE_RE_GRAPH_HARD_001.zip,bie/reasoning/graph_cycle_hardening.py,0b51c3120625db9a992484157f4d2733736f3822006163bd855ba8993bc22962,tests/reasoning/test_graph_hard_001.py,c678ab0b2b4315b22996ffc96d5e69f9d3dcada6b499c3d882f87c1e0d643718,3,0,0,0,7,True,CANONICAL_LOCAL_VERIFIED
BIE_RE_GRAPH_HARD_002.zip,BIE-RE-GRAPH-HARD-002,RE_QA_HARDENING,ENTERPRISE HARDENING ADDITION,16d1a91618ba44bd7fd6b3d2cb6fffb47b11a77ce52ee2d0694764673db1a0b4,backups/ingested/BIE_RE_GRAPH_HARD_002.zip,bie/reasoning/downstream_impact_paths.py,22e3a3b332983e20a77a4575a79da2705656ae18426f43ec940c24735cbdade0,tests/reasoning/test_graph_hard_002.py,c8e8c0450ab972b6b66e695111df5afab01b39dae78dc78d9e872d08b38cb2c7,3,0,0,0,7,False,CANONICAL_LOCAL_VERIFIED
BIE_RE_GRAPH_HARD_003.zip,BIE-RE-GRAPH-HARD-003,RE_QA_HARDENING,ENTERPRISE HARDENING ADDITION,c51c0f6a89c43828201e96945b984a2dc44e0b06972f578744384053e7772d2e,backups/ingested/BIE_RE_GRAPH_HARD_003.zip,bie/reasoning/transitive_invalidation.py,527464c0f513abc4f346f28976e88addb85cbb944f10fc728e36c6a1dd236ebe,tests/reasoning/test_graph_hard_003.py,87739cebbe635f25e39f36b418f9e1d04b45a5406cd83635346801c48663a426,3,0,0,0,7,False,CANONICAL_LOCAL_VERIFIED
BIE_RE_INTEGRATION_HARD_001.zip,BIE-RE-INTEGRATION-HARD-001,RE_QA_HARDENING,ENTERPRISE HARDENING ADDITION,04ebd01ed50e586128c68e0e60bcb414fca63989db804abecaae94d5925fe7e7,backups/ingested/BIE_RE_INTEGRATION_HARD_001.zip,bie/reasoning/reasoning_integration_gate.py,a3862e095d8d5d149dda8b2b97d916637d3d0152f3d29ff36464595a4b28529d,tests/reasoning/test_integration_hard_001.py,0f4ba42ae4b8b12eb6449f746451c3ed13b0a978ef873b15c5f846a3ed89727e,5,0,0,0,7,True,CANONICAL_LOCAL_VERIFIED
